source_id,source_type,agency,title,url,retrieved_at,confidence,use
tarrant-county-court-roster,current_officeholders,Tarrant County,Commissioners Court,https://www.tarrantcountytx.gov/en/commissioners-court.html,2026-08-02,high,"Current official roster identifies Tim O’Hare, Roderick Miles Jr., Alisa Simmons, Matt Krause, and Manny Ramirez and defines the one-judge plus four-commissioner structure."
tarrant-county-elected-officials,current_officeholders,Tarrant County,Elected County Officials,https://www.tarrantcountytx.gov/en/county/supermenu-contents/government/elected-county-officials.html,2026-08-02,high,"Countywide official directory identifies all nine separately elected positions in scope: Tim O’Hare, four Commissioners, Mary Louise Nicholson, Thomas A. Wilder, Bill E. Waybourn, and Rick Barnes."
tarrant-county-judge,current_officeholder,Tarrant County Judge,What Is a County Judge,https://www.tarrantcountytx.gov/en/county-judge/what-is-a-county-judge.html,2026-08-02,high,"Official County Judge page identifies Tim O’Hare and describes the countywide executive role."
tarrant-county-commissioner-1,current_officeholder,Tarrant County Precinct 1,Commissioner Roderick Miles Jr.,https://www.tarrantcountytx.gov/en/commissioner-1/about-us/commissioner1.html,2026-08-02,high,"Official Precinct 1 biography identifies Roderick Miles Jr. and states that he was elected in November 2024."
tarrant-county-commissioner-2,current_officeholder,Tarrant County Precinct 2,Commissioner Alisa Simmons,https://www.tarrantcountytx.gov/en/commissioner-2.html,2026-08-02,high,"Official Precinct 2 page identifies Alisa Simmons."
tarrant-county-commissioner-3,current_officeholder,Tarrant County Precinct 3,Meet Commissioner Krause,https://www.tarrantcountytx.gov/en/commissioner-3/meet-commissioner-krause.html,2026-08-02,high,"Official Precinct 3 biography identifies Matt Krause."
tarrant-county-commissioner-4,current_officeholder,Tarrant County Precinct 4,Commissioner Manny Ramirez,https://www.tarrantcountytx.gov/en/commissioner-4.html,2026-08-02,high,"Official Precinct 4 page identifies Manny Ramirez."
tarrant-county-effective-2025-precinct-layer,geometry,Tarrant County Elections,Commissioner Precincts Effective June 3 2025,https://mapit.tarrantcounty.com/arcgis/rest/services/BondProject/BondProjects/MapServer/3,2026-08-02,high,"Controlling current polygon layer. Its official description states that the Commissioner precinct boundaries are effective beginning June 3, 2025; it exposes stable District_N values 1 through 4 and direct GeoJSON."
tarrant-county-undated-general-precinct-layer,lagging_geometry,Tarrant County GIS,General Commissioner Precinct MapServer,https://mapit.tarrantcounty.com/arcgis/rest/services/Dynamic/CommissionerPrecinct/MapServer/0,2026-08-02,high,"Undated general-purpose county layer exposes District_N values 1 through 4, but all four polygons differ from the explicitly dated June 3, 2025 Elections layer. It is preserved as lagging geometry evidence and does not control the release."
tarrant-county-obsolete-2010-precinct-service,stale_geometry,Tarrant County GIS,2010 Commissioner Precinct Boundaries,https://mapit.tarrantcounty.com/arcgis/rest/services/Dynamic/CommPct_Outline/MapServer,2026-08-02,high,"Still-live official service explicitly describes all 2010 Tarrant County Commissioner precinct boundaries. It is preserved as stale geometry evidence and does not control the release."
