source_id,source_type,agency,title,url,retrieved_at,confidence,use
collin-county-government,office_structure,Collin County,Government,https://www.collincountytx.gov/government/,2026-08-02,high,"Official county overview states that Commissioners Court consists of one County Judge elected at large and four Commissioners elected from equal precincts."
collin-county-commissioners-court,current_officeholders,Collin County Commissioners Court,Commissioners Court,https://www.collincountytx.gov/Government/Commissioners-Court,2026-08-02,high,"Official court page identifies County Judge Chris Hill and Commissioners Susan Fletcher, Cheryl Williams, Darrell Hale, and Duncan Webb."
collin-county-county-officials,current_officeholders_cross_check,Collin County,County Officials,https://www.collincountytx.gov/contact/county-officials,2026-08-02,high,"Official county directory independently identifies Chris Hill, Cheryl Williams, Darrell Hale, and Duncan Webb in their current roles; the current court page controls the complete five-member roster."
collin-county-judge,current_officeholder,Collin County Judge,Chris Hill County Judge,https://www.collincountytx.gov/government/commissioners-court/county-judge,2026-08-02,high,"Official biography identifies Chris Hill as Collin County Judge and records his 2018 election."
collin-county-commissioner-1,current_officeholder,Collin County Commissioner Precinct 1,Susan Fletcher Commissioner Precinct 1,https://www.collincountytx.gov/government/commissioners-court/precinct-1,2026-08-02,high,"Official biography identifies Susan Fletcher as current Commissioner for Precinct 1 and records her 2024 reelection."
collin-county-commissioner-2,current_officeholder,Collin County Commissioner Precinct 2,Cheryl Williams Commissioner Precinct 2,https://www.collincountytx.gov/government/commissioners-court/precinct-2,2026-08-02,high,"Official biography identifies Cheryl Williams as current Commissioner for Precinct 2."
collin-county-commissioner-3,current_officeholder,Collin County Commissioner Precinct 3,Darrell Hale Commissioner Precinct 3,https://www.collincountytx.gov/government/commissioners-court/precinct-3,2026-08-02,high,"Official biography identifies Darrell Hale as current Commissioner for Precinct 3 and states his next election is in 2028."
collin-county-commissioner-4,current_officeholder,Collin County Commissioner Precinct 4,Duncan Webb Commissioner Precinct 4,https://www.collincountytx.gov/government/commissioners-court/precinct-4,2026-08-02,high,"Official biography identifies Duncan Webb as current Commissioner for Precinct 4."
collin-county-stale-precinct-page,stale_geometry_narrative,Collin County Commissioners Court,Precincts and State Districts,https://www.collincountytx.gov/government/commissioners-court/precincts,2026-08-02,high,"Official landing page labels the listed Commissioner precincts current but still says the plan was adopted September 6, 2011 and effective January 1, 2012. This stale narrative does not control the geometry date."
collin-county-interactive-map,official_map_application_and_operational_layer,Collin County GIS,Commissioner Precincts Interactive Map,https://maps.collincountytx.gov/ccmap_commissioners/,2026-08-02,high,"Browser network capture of the official application resolves its Commissioners geometry to InteractiveMap/Election/MapServer/1. That operational layer exposes COMMISH values 1 through 4 and uppercase COMMISH_N officeholder labels matching the current roster case-insensitively."
collin-county-2021-commissioners-layer,geometry_adoption_metadata_and_roster_cross_check,Collin County GIS,Commissioners Plan Metadata,https://maps.collincountytx.gov/server/rest/services/Election/VotingPrecincts_Edited_PlanC2333/FeatureServer/3,2026-08-02,high,"Synchronized official polygon layer states that the Commissioner plan was approved November 1, 2021 under Court Order 2021-1127-11-01 and independently exposes COMMISH and COMMISH_N. It supplies adoption metadata while the app-resolved MapServer/1 layer controls released geometry."
collin-county-redistricting-maps,geometry_adoption_context,Collin County Commissioners Court,Redistricting Maps,https://www.collincountytx.gov/government/commissioners-court/redistricting-maps,2026-08-02,high,"Official redistricting page publishes the adopted Commissioner Precincts plan among the post-census mapping materials."
census-collin-county,geometry,U.S. Census Bureau,TIGERweb Current Counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/tigerWMS_Current/MapServer/82,2026-08-02,high,"Official county boundary for Census GEOID 48085."
